,K,Metric,Descriptor,Similarity,Method,Result
0,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,HistogramIntersection,SPR,0.53
1,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,HistogramIntersection,BB at level 1,0.47
2,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,HistogramIntersection,BB at level 2,0.5
3,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,HistogramIntersection,BB at level 3,0.6
4,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_6_hist_type_log-chromatic_HSV,HistogramIntersection,SPR,0.43
5,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_6_hist_type_log-chromatic_HSV,HistogramIntersection,BB at level 1,0.4
6,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_6_hist_type_log-chromatic_HSV,HistogramIntersection,BB at level 2,0.43
7,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_6_hist_type_log-chromatic_HSV,HistogramIntersection,BB at level 3,0.6
8,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,HellingerKernel,SPR,0.6
9,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,HellingerKernel,BB at level 1,0.53
10,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,HellingerKernel,BB at level 2,0.57
11,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,HellingerKernel,BB at level 3,0.67
12,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_6_hist_type_log-chromatic_HSV,HellingerKernel,SPR,0.53
13,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_6_hist_type_log-chromatic_HSV,HellingerKernel,BB at level 1,0.47
14,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_6_hist_type_log-chromatic_HSV,HellingerKernel,BB at level 2,0.5
15,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_6_hist_type_log-chromatic_HSV,HellingerKernel,BB at level 3,0.63
16,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,Bhattacharyya,SPR,0.6
17,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,Bhattacharyya,BB at level 1,0.53
18,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,Bhattacharyya,BB at level 2,0.57
19,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,Bhattacharyya,BB at level 3,0.67
20,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_6_hist_type_log-chromatic_HSV,Bhattacharyya,SPR,0.53
21,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_6_hist_type_log-chromatic_HSV,Bhattacharyya,BB at level 1,0.47
22,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_6_hist_type_log-chromatic_HSV,Bhattacharyya,BB at level 2,0.5
23,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_6_hist_type_log-chromatic_HSV,Bhattacharyya,BB at level 3,0.63
24,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,HistogramIntersection,SPR,0.6
25,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,HistogramIntersection,BB at level 1,0.53
26,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,HistogramIntersection,BB at level 2,0.58
27,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,HistogramIntersection,BB at level 3,0.65
28,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_6_hist_type_log-chromatic_HSV,HistogramIntersection,SPR,0.54
29,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_6_hist_type_log-chromatic_HSV,HistogramIntersection,BB at level 1,0.48
30,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_6_hist_type_log-chromatic_HSV,HistogramIntersection,BB at level 2,0.53
31,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_6_hist_type_log-chromatic_HSV,HistogramIntersection,BB at level 3,0.64
32,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,HellingerKernel,SPR,0.63
33,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,HellingerKernel,BB at level 1,0.57
34,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,HellingerKernel,BB at level 2,0.61
35,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,HellingerKernel,BB at level 3,0.7
36,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_6_hist_type_log-chromatic_HSV,HellingerKernel,SPR,0.6
37,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_6_hist_type_log-chromatic_HSV,HellingerKernel,BB at level 1,0.53
38,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_6_hist_type_log-chromatic_HSV,HellingerKernel,BB at level 2,0.57
39,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_6_hist_type_log-chromatic_HSV,HellingerKernel,BB at level 3,0.69
40,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,Bhattacharyya,SPR,0.63
41,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,Bhattacharyya,BB at level 1,0.57
42,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,Bhattacharyya,BB at level 2,0.61
