,K,Metric,Descriptor,Similarity,Method,Result
43,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_12_hist_type_log-chromatic_HSV,HistogramIntersection,BB at level 3,0.63
44,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_16_hist_type_log-chromatic_HSV,HistogramIntersection,SPR,0.57
45,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_16_hist_type_log-chromatic_HSV,HistogramIntersection,BB at level 1,0.47
46,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_16_hist_type_log-chromatic_HSV,HistogramIntersection,BB at level 2,0.56
47,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_16_hist_type_log-chromatic_HSV,HistogramIntersection,BB at level 3,0.67
48,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,HellingerKernel,SPR,0.63
49,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,HellingerKernel,BB at level 1,0.57
50,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,HellingerKernel,BB at level 2,0.61
51,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,HellingerKernel,BB at level 3,0.7
52,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_12_hist_type_log-chromatic_HSV,HellingerKernel,SPR,0.55
53,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_12_hist_type_log-chromatic_HSV,HellingerKernel,BB at level 1,0.51
54,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_12_hist_type_log-chromatic_HSV,HellingerKernel,BB at level 2,0.55
55,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_12_hist_type_log-chromatic_HSV,HellingerKernel,BB at level 3,0.61
56,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_16_hist_type_log-chromatic_HSV,HellingerKernel,SPR,0.57
57,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_16_hist_type_log-chromatic_HSV,HellingerKernel,BB at level 1,0.5
58,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_16_hist_type_log-chromatic_HSV,HellingerKernel,BB at level 2,0.57
59,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_16_hist_type_log-chromatic_HSV,HellingerKernel,BB at level 3,0.68
60,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,Bhattacharyya,SPR,0.63
61,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,Bhattacharyya,BB at level 1,0.57
62,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,Bhattacharyya,BB at level 2,0.61
63,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,Bhattacharyya,BB at level 3,0.7
64,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_12_hist_type_log-chromatic_HSV,Bhattacharyya,SPR,0.55
65,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_12_hist_type_log-chromatic_HSV,Bhattacharyya,BB at level 1,0.51
66,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_12_hist_type_log-chromatic_HSV,Bhattacharyya,BB at level 2,0.55
67,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_12_hist_type_log-chromatic_HSV,Bhattacharyya,BB at level 3,0.61
68,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_16_hist_type_log-chromatic_HSV,Bhattacharyya,SPR,0.57
69,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_16_hist_type_log-chromatic_HSV,Bhattacharyya,BB at level 1,0.5
70,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_16_hist_type_log-chromatic_HSV,Bhattacharyya,BB at level 2,0.57
71,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_16_hist_type_log-chromatic_HSV,Bhattacharyya,BB at level 3,0.68
