,K,Metric,Descriptor,Similarity,Method,Result
0,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,HistogramIntersection,SPR,0.53
1,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,HistogramIntersection,BB at level 1,0.47
2,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,HistogramIntersection,BB at level 2,0.5
3,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,HistogramIntersection,BB at level 3,0.6
4,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_12_hist_type_log-chromatic_HSV,HistogramIntersection,SPR,0.5
5,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_12_hist_type_log-chromatic_HSV,HistogramIntersection,BB at level 1,0.43
6,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_12_hist_type_log-chromatic_HSV,HistogramIntersection,BB at level 2,0.5
7,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_12_hist_type_log-chromatic_HSV,HistogramIntersection,BB at level 3,0.57
8,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_16_hist_type_log-chromatic_HSV,HistogramIntersection,SPR,0.53
9,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_16_hist_type_log-chromatic_HSV,HistogramIntersection,BB at level 1,0.43
10,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_16_hist_type_log-chromatic_HSV,HistogramIntersection,BB at level 2,0.53
11,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_16_hist_type_log-chromatic_HSV,HistogramIntersection,BB at level 3,0.63
12,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,HellingerKernel,SPR,0.6
13,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,HellingerKernel,BB at level 1,0.53
14,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,HellingerKernel,BB at level 2,0.57
15,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,HellingerKernel,BB at level 3,0.67
16,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_12_hist_type_log-chromatic_HSV,HellingerKernel,SPR,0.47
17,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_12_hist_type_log-chromatic_HSV,HellingerKernel,BB at level 1,0.47
18,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_12_hist_type_log-chromatic_HSV,HellingerKernel,BB at level 2,0.47
19,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_12_hist_type_log-chromatic_HSV,HellingerKernel,BB at level 3,0.5
20,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_16_hist_type_log-chromatic_HSV,HellingerKernel,SPR,0.53
21,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_16_hist_type_log-chromatic_HSV,HellingerKernel,BB at level 1,0.47
22,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_16_hist_type_log-chromatic_HSV,HellingerKernel,BB at level 2,0.53
23,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_16_hist_type_log-chromatic_HSV,HellingerKernel,BB at level 3,0.63
24,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,Bhattacharyya,SPR,0.6
25,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,Bhattacharyya,BB at level 1,0.53
26,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,Bhattacharyya,BB at level 2,0.57
27,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,Bhattacharyya,BB at level 3,0.67
28,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_12_hist_type_log-chromatic_HSV,Bhattacharyya,SPR,0.47
29,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_12_hist_type_log-chromatic_HSV,Bhattacharyya,BB at level 1,0.47
30,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_12_hist_type_log-chromatic_HSV,Bhattacharyya,BB at level 2,0.47
31,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_12_hist_type_log-chromatic_HSV,Bhattacharyya,BB at level 3,0.5
32,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_16_hist_type_log-chromatic_HSV,Bhattacharyya,SPR,0.53
33,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_16_hist_type_log-chromatic_HSV,Bhattacharyya,BB at level 1,0.47
34,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_16_hist_type_log-chromatic_HSV,Bhattacharyya,BB at level 2,0.53
35,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_16_hist_type_log-chromatic_HSV,Bhattacharyya,BB at level 3,0.63
36,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,HistogramIntersection,SPR,0.6
37,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,HistogramIntersection,BB at level 1,0.53
38,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,HistogramIntersection,BB at level 2,0.58
39,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,HistogramIntersection,BB at level 3,0.65
40,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_12_hist_type_log-chromatic_HSV,HistogramIntersection,SPR,0.55
41,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_12_hist_type_log-chromatic_HSV,HistogramIntersection,BB at level 1,0.47
42,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_12_hist_type_log-chromatic_HSV,HistogramIntersection,BB at level 2,0.55
