,K,Metric,Descriptor,Similarity,Method,Result
37,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_LAB,Bhattacharyya,BB at level 1,0.5
38,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_LAB,Bhattacharyya,BB at level 2,0.53
39,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_LAB,Bhattacharyya,BB at level 3,0.6
40,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_YCbCr,Bhattacharyya,SPR,0.57
41,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_YCbCr,Bhattacharyya,BB at level 1,0.53
42,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_YCbCr,Bhattacharyya,BB at level 2,0.57
43,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_YCbCr,Bhattacharyya,BB at level 3,0.6
44,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_RGB,Bhattacharyya,SPR,0.6
45,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_RGB,Bhattacharyya,BB at level 1,0.53
46,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_RGB,Bhattacharyya,BB at level 2,0.57
47,1,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_RGB,Bhattacharyya,BB at level 3,0.63
48,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,HistogramIntersection,SPR,0.6
49,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,HistogramIntersection,BB at level 1,0.53
50,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,HistogramIntersection,BB at level 2,0.58
51,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,HistogramIntersection,BB at level 3,0.65
52,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_LAB,HistogramIntersection,SPR,0.62
53,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_LAB,HistogramIntersection,BB at level 1,0.54
54,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_LAB,HistogramIntersection,BB at level 2,0.6
55,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_LAB,HistogramIntersection,BB at level 3,0.63
56,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_YCbCr,HistogramIntersection,SPR,0.56
57,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_YCbCr,HistogramIntersection,BB at level 1,0.44
58,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_YCbCr,HistogramIntersection,BB at level 2,0.57
59,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_YCbCr,HistogramIntersection,BB at level 3,0.66
60,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_RGB,HistogramIntersection,SPR,0.62
61,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_RGB,HistogramIntersection,BB at level 1,0.51
62,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_RGB,HistogramIntersection,BB at level 2,0.6
63,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_RGB,HistogramIntersection,BB at level 3,0.67
64,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,HellingerKernel,SPR,0.63
65,5,MeanAveragePrecisionAtK,ColorHistogramDescriptor3D_bins_9_hist_type_log-chromatic_HSV,HellingerKernel,BB at level 1,0.57
